Nationalised_Banks,8.30,7.24,6.83,6.00,3.95,3.48,3.26,3.15
Allahabad_Bank,9.89,9.63,8.72,8.59,5.48,5.67,4.98,5.09
Andhra_Bank,4.43,3.70,3.90,2.89,1.41,1.02,1.67,1.23
Bank_of_Baroda,8.28,6.83,7.06,6.65,3.93,2.81,3.08,2.88
Bank_of_India,6.00,5.76,5.63,6.23,3.13,3.39,3.29,3.96
Bank_of_Maharashtra,8.55,6.65,5.87,4.71,3.51,2.97,2.95,2.43
Canara_Bank,9.32,8.31,8.46,4.29,3.77,2.93,2.88,2.28
Central_Bank_of_India,9.55,7.91,6.90,6.87,4.80,4.28,3.55,3.76
Corporation_Bank,3.87,3.05,2.46,2.58,1.32,1.12,0.83,0.89
Dena_Bank,6.94,6.32,5.78,8.31,4.06,3.58,3.40,5.83
Indian_Bank,19.39,17.62,17.34,14.26,10.19,9.71,7.57,5.64
Indian_Overseas_Bank,7.35,5.86,5.89,5.88,3.09,2.53,3.02,3.21
Oriental_Bank_of_Commerce,3.18,2.69,2.65,2.15,2.39,1.94,1.85,1.37
Punjab_& Sind_Bank,14.35,11.50,10.35,6.53,4.43,3.82,4.06,3.76
Punjab_National_Bank,6.92,6.15,6.11,5.78,4.11,3.84,3.66,3.54
Syndicate_Bank,7.38,6.09,4.91,3.65,2.51,2.06,1.68,1.42
UCO_Bank,11.46,9.58,8.27,7.01,4.61,3.79,3.45,2.90
Union_Bank_of_India,4.41,4.64,4.68,5.37,2.86,3.06,3.15,3.32
United_Bank_of_India,10.97,10.08,9.00,7.79,4.45,3.28,3.33,3.01
Vijaya_Bank,6.36,5.65,4.95,4.43,2.92,2.93,2.26,2.42
State_Bank_Group,7.03,6.67,6.52,5.88,3.12,2.89,2.94,2.60
State_Bank_of_India,7.01,6.38,6.32,5.83,2.89,2.50,2.65,2.40
State_Bank_of_Bikaner_& Jaipur,5.59,5.43,6.60,6.20,3.01,3.14,4.01,3.64
State_Bank_of_Hyderabad,9.01,9.09,7.00,6.03,4.89,4.74,3.55,2.86
State_Bank_of_Indore,7.66,7.33,6.60,5.06,5.19,5.09,4.30,3.42
State_Bank_of_Mysore,8.57,9.19,8.57,6.64,5.18,5.23,4.95,3.64
State_Bank_of_Patiala,5.24,5.34,6.61,5.41,2.57,3.00,3.65,2.84
State_Bank_of_Saurashtra,6.63,7.01,7.19,6.23,2.65,3.02,3.28,3.34
State_Bank_of_Travancore,7.53,9.97,8.11,6.52,4.30,5.53,4.34,3.63
Public_Sector_Banks,7.83,7.03,6.71,5.95,3.65,3.27,3.14,2.9411,6.52,4.3,5.53,4.34,3.63
Public_Sector_Banks,7.83,7.03,6.71,5.95,3.65,3.27,3.14,2.94
