,Mean,Standard Deviation
CIDR,104.65,7.6
BPE,257.03,147.31
CAR,12.87,0.83
CAR-T1,8.77,0.55
CAR-T2,4.1,0.81
CADR,7.26,2.03
COB,4.18,1.64
COD,6.37,1.32
COF,6.28,1.29
CRDR,58.02,13.33
IDR,46.62,8.89
PPE,1.95,1.31
BII-RATIO,10.23,3.75
BTA-RATIO,0.85,0.36
DTL-RATIO,77.08,1.52
IITA-RATIO,8.2,0.86
ICTA-RATIO,2.36,0.34
INASTI-RATIO,16.69,3.62
NIMTA-RATIO,2.87,0.23
NNNA-RATIO,3.9,2.13
NIITA-RATIO,1.51,0.2
OPTA-RATIO,2.02,0.35
PSATA-RATIO,27.65,1.69
SATA-RATIO,82.99,7.25
TDTD-RATIO,58.66,4.45
TLTA-RATIO,44.93,8.57
WBIC-RATIO,68.7,3.63
WBTE-RATIO,21.22,2.88
WBTI-RATIO,16.73,2.26
ROAD,9.09,1.3
ROAADJCOF,2.81,0.76
ROA,0.82,0.2
ROE,16.59,2.92
ROIADJCF,2.79,0.98
ROI,9.07,1.94
GNPASTA,3.49,1.7
NNPASTA,1.56,0.64
